id,preco
13518783164498355150900635905895481162,
299896161723793383246777788797566040330,
316180649972302128246133616457018378621,
222527157104148385909188217274642813298,
160460343059850745858546502614838368036,
262727202368986244371977784343233436999,
254093764205800086330999281077926851120,97514.555
26118184613036116787803832945215674478,46065.953
216524630140335566712794225427064313,
185631381169816366226494379020452029389,
193325654448132563278364141820152041311,
238917637717691361625086479663492481749,
55430829679256880238551444522175018156,
215317645068876070368783807654911699750,
81597227204971961501733390453078413740,
144896666825908872755051834814298387194,
184599608599423525451999366981389806783,
332523842755767369964829329030378044388,52384.22
115343777354602647202140618045743635008,
20757170217235469489036110086071917277,
185526399598537813925895625787601650168,
60658042813489826886245400795986219027,
252469656136469704862465423825396909961,
144289133420257677937750963126363910239,
286704706212186527658783613441315754259,
104788498292328609834480593297039083847,
83091551517048057678460117003997132666,
253819240599250454081144283787356606601,
47552100267769170589122325402191982347,
143932540867090135955180920741784357244,89061.26
196345985565471044954698780677909306202,
244792708737468723430839923035345593106,
84589940414664494482357035061818012137,
272199586960887794853261858460695880945,
49959439507026713714422386346459644032,65962.64
281026519311657672970881937258693325762,130885.07
93074564150014753673961081882123830374,
26728401390792884431172378844166640182,
188211565885838356078706489204052877949,
72487946181948797581370306862646034491,
228864048115975611203958077134700148633,
112454259487642510247400972640243226784,
222663295482952330188872827964862490542,
174300102534868734265445704595501072047,81078.89
65616068149477861830943576277231644996,
12512429268260634755522419284910697215,
336344009530167442733355949279054127993,94673.37
79522286518792634854353998912967788405,
82689802293775881487902613650793199776,
145087209205382180995284342956932775590,
148379644220249469735831915363404593938,
81783415914068556337040372580510327746,
17392005129747944984443660408573750669,81078.89
221003909581330971303914733428302885356,
32270994133870633595828638411924379558,
44743423162474884539743903954385097896,
256739781367016694034266877805520625472,
102069821313289958956134954896763391138,
295239204594155572903470420706758961711,
217043924033496343963491521400562422856,
230630223901851276472648163541398202700,
228794583325189840821498523768389390979,
226883211751919793077312253417502568887,
178727794896076301413017290746899811351,
233324434070255280697734700180958891999,
120196782885257163651164953359063822616,
307587965035124177469706843302286678852,
147918433942232310306879997092064646229,
322862357217576382174561616320866894896,
239523402888574028389406143855331971634,
113509983214540261664688743850173663995,
109891169875096641331353504149265117244,
14047284765259674200352849951505593080,
185048785858081984334746723407963750558,
233408161489868303803711823496315975517,
271868823659695867806389462405507434039,207113.47
234266752075173490649523075655294035700,
135193714861901808768224625797727405125,
65383514239248595231552479759479421653,
763500554236946546082152173974002095,
263071556455718053803505933844459615897,
251187863725990533753089128740859478739,
254288424794027625207128200628830798586,
286319605986498380547161295324785273852,
18156444762146185587945140921021289232,
132399590521100913284690334248594447552,
103484450878268999171337512911053865440,
3912270241651523146374566983699340012,
289442719100949424990356122406061188257,
78107569099680024366542029001316825040,
35630579392702895703343792092821020757,
180495442974534219664033650975071179678,163431.47
310808003231123687601982759789167595573,69518.305
281412885789869246852489114984059535931,
115834922999693545296191213987693964898,
5731801982113473737231393645963779999,
256716164818036322373140286568690396129,127847.49
287091925155434474451326927701130603179,
34260218896401614964439670738816901101,
129711525134942617432200032446355408594,96752.18
63813447393601008165654825811986411111,
233957718806307342910872106898233148735,
138508589382193076883186189654019084427,
171762617476835661595108367117122969376,274750.03
7122736344425113322294078330615663312,
32931879047335602142815671990698948947,
230483121396274655509988841957998046697,
315766672381283490639653109260892751611,
301104161774368724925476221283740970391,
227510606246395701960366267332503216714,
228659121972304442863099815886729581779,
68086809059173658965599732460689150208,
169041392389609942283143480484429958744,
149581053128777628511664656027161538796,
66252420228989686258481184814476626799,
262859967351480229982146627310415934358,
317829998963593347122303395131613360494,
